title,title_link,authors,publications,snippet,hcp_name,num_articles
[HTML][HTML] Disulfiram repurposing combined with nutritional copper supplement as add-on to chemotherapy in recurrent glioblastoma (DIRECT): Study protocol for a …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6325620.1/,"AS Jakola, K Werlenius, M Mudaisi, S Hylin… ","…, 2018 ","Background: Disulfiram (DSF) is a well-tolerated, inexpensive, generic drug that has been in 
use to treat alcoholism since the 1950s. There is now independent preclinical data that 
supports DSF as an anticancer agent, and experimental data suggest that copper may increase …",Munila Mudaisi,10
ABCB1 single-nucleotide variants and survival in patients with glioblastoma treated with radiotherapy concomitant with temozolomide,https://www.nature.com/articles/s41397-019-0107-z,"A Malmström, M Łysiak, L Åkesson… ","The …, 2020 ","Standard treatment for glioblastoma (GBM) patients is surgery and radiochemotherapy (RCT) 
with temozolomide (TMZ). TMZ is a substrate for ABCB1, a transmembrane drug transporter. 
It has been suggested that survival for GBM patients receiving TMZ is influenced by …",Munila Mudaisi,10
[HTML][HTML] “Do I want to know it all?” A qualitative study of glioma patients' perspectives on receiving information about their diagnosis and prognosis,https://link.springer.com/article/10.1007/s00520-020-05846-7,"A Malmström, L Åkesson, P Milos, M Mudaisi… ","Supportive Care in …, 2021 ","Purpose Glioma patients have poor prognosis. The amount of detail of disease-related 
information patients wish to receive is not known. The aim of this study was to explore glioma 
patients’ experiences and preferences regarding receiving information on diagnosis and …",Munila Mudaisi,10
Deletions on Chromosome Y and Downregulation of the SRY Gene in Tumor Tissue Are Associated with Worse Survival of Glioblastoma Patients,https://www.mdpi.com/2072-6694/13/7/1619,"M Łysiak, A Smits, KR Roodakker, E Sandberg… ","Cancers, 2021 ","Background: Biological causes of sex disparity seen in the prevalence of cancer, including 
glioblastoma (GBM), remain poorly understood. One of the considered aspects is the 
involvement of the sex chromosomes, especially loss of chromosome Y (LOY). Methods: Tumors …",Munila Mudaisi,10
Do I want to know it all?,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1502726,"A Malmström, L Åkesson, P Milos, M Mudaisi… ","Supportive Care in …, 2020 ","Purpose Glioma patients have poor prognosis. The amount of detail of disease-related 
information patients wish to receive is not known. The aim of this study was to explore glioma 
patients experiences and preferences regarding receiving information on diagnosis and …",Munila Mudaisi,10
[HTML][HTML] Assessment of genetic and non-genetic risk factors for venous thromboembolism in glioblastoma–The predictive significance of B blood group,https://www.sciencedirect.com/science/article/pii/S0049384819304542,"MK Heenkenda, A Malmström, M Lysiak, M Mudaisi… ","Thrombosis research, 2019 ","Introduction Venous thromboembolism (VTE) is a common problem among patients with 
glioblastoma multiforme (GBM) and with some other cancers. Here, we evaluated genetic 
and non-genetic potential risk factors for VTE among GBM patients. Materials and methods A …",Munila Mudaisi,10
[PDF][PDF] controlled trial [version 1; referees: awaiting peer review],https://www.researchgate.net/profile/Asgeir-Jakola/publication/330406415_Disulfiram_repurposing_combined_with_nutritional_copper_supplement_as_add-on_to_chemotherapy_in_recurrent_glioblastoma_DIRECT_Study_protocol_for_a_randomized_controlled_trial/links/5c40ddcc92851c22a37c4f66/Disulfiram-repurposing-combined-with-nutritional-copper-supplement-as-add-on-to-chemotherapy-in-recurrent-glioblastoma-DIRECT-Study-protocol-for-a-randomized-controlled-trial.pdf,"AS Jakola, K Werlenius, M Mudaisi, S Hylin, S Kinhult… ",2016 ,"Disulfiram (DSF) is a well-tolerated, inexpensive, generic drug Background: that has been in use to treat alcoholism since the 1950s. There is now",Munila Mudaisi,10
ABO blood group is a potent risk factor for venous thromboembolism in patients with malignant gliomas,https://acsjournals.onlinelibrary.wiley.com/doi/abs/10.1002/cncr.20150,"MB Streiff, J Segal, SA Grossman… ","… Journal of the …, 2004 ","BACKGROUND Venous thromboembolism (VTE) is a common cause of morbidity and 
mortality among patients with malignant gliomas. To investigate the pathogenesis of VTE and 
facilitate targeted prophylaxis strategies, the authors aimed to characterize VTE risk factors in …",Munila Mudaisi,10
Impact of thrombophilic gene mutations on thrombosis risk in patients with gastrointestinal carcinoma,https://acsjournals.onlinelibrary.wiley.com/doi/abs/10.1002/cncr.10590,"R Pihusch, G Danzl, M Scholz, D Harich, M Pihusch… ","Cancer, 2002 ","BACKGROUND Patients with malignancies have an increased risk for thromboembolic events 
due to the release of tissue factor by the tumor, damage to the vessel wall, and immobilization. 
Moreover, tumors may improve their growth and metastatic spread by utilizing the …",Munila Mudaisi,10
[HTML][HTML] Predictors of mosaic chromosome Y loss and associations with mortality in the UK Biobank,https://www.nature.com/articles/s41598-018-30759-1,"E Loftfield, W Zhou, BI Graubard, M Yeager… ","Scientific reports, 2018 ","Mosaic loss of the Y chromosome (mLOY) is the most commonly reported large structural 
somatic event. Previous studies have indicated age and cigarette smoking increase the risk 
of mLOY, but the relationship of other exposures with mLOY and mLOY with disease has not …",Munila Mudaisi,10
[HTML][HTML] Association of ABCB1 polymorphisms with survival and in vitro cytotoxicty in de novo acute myeloid leukemia with normal karyotype,https://www.nature.com/articles/tpj201079,"H Green, IJ Falk, K Lotfi, E Paul… ","The …, 2012 ","Overexpression of the multi-drug transporter P-glycoprotein, encoded by the ABCB1 gene, 
is a clinically relevant problem in acute myeloid leukemia (AML). Polymorphisms in ABCB1 
might contribute to cancer risk and therapeutic response. We therefore investigated the …",Munila Mudaisi,14
[HTML][HTML] Longitudinal changes in the frequency of mosaic chromosome Y loss in peripheral blood cells of aging men varies profoundly between individuals,https://www.nature.com/articles/s41431-019-0533-z,"M Danielsson, J Halvardson, H Davies… ","European Journal of …, 2020 ","Mosaic loss of chromosome Y (LOY) is the most common somatic genetic aberration and is 
associated with increased risk for all-cause mortality, various forms of cancer and Alzheimer’s 
disease, as well as other common human diseases. By tracking LOY frequencies in …",Munila Mudaisi,14
[HTML][HTML] Aberrant activation of the human sex-determining gene in early embryonic development results in postnatal growth retardation and lethality in mice,https://www.nature.com/articles/s41598-017-04117-6,"T Kido, Z Sun, YFC Lau ","Scientific reports, 2017 ","Sexual dimorphisms are prevalent in development, physiology and diseases in humans. 
Currently, the contributions of the genes on the male-specific region of the Y chromosome (MSY) 
in these processes are uncertain. Using a transgene activation system, the human sex-…",Munila Mudaisi,14
[HTML][HTML] Sex-determining region Y (SRY) attributes to gender differences in RANKL expression and incidence of osteoporosis,https://www.nature.com/articles/s12276-019-0294-3,"K Kodrič, J Zupan, T Kranjc, R Komadina… ","… & molecular medicine, 2019 ","Receptor activator of nuclear factor κB ligand (RANKL) plays a crucial role in bone metabolism. 
RANKL gene misregulation has been implicated in several bone and cancer diseases. Here, 
we aimed to identify novel transcription regulators of RANKL expression. We discovered …",Munila Mudaisi,14
,,,,,Munila Mudaisi,14
Adjuvant tamoxifen in early breast cancer: occurrence of new primary cancers,https://www.sciencedirect.com/science/article/pii/S0140673689911410,"T Fornander, B Cedermark, A Mattsson, L Skoog… ","The Lancet, 1989 ","The frequency of new primary cancers was studied in 1846 postmenopausal patients included 
in a randomised trial of tamoxifen as an adjunct to primary surgery for early breast cancer. 
The median follow-up was 4·5 years (range 0·5-10·5 years). The number of new cancers in …",Nils Wilking,10
Adjuvant tamoxifen therapy for early stage breast cancer and second primary malignancies,https://academic.oup.com/jnci/article-abstract/87/9/645/907911,"LE Rutqvist, H Johansson, T Signomklao… ","JNCI: Journal of the …, 1995 ","Background: Tamoxifen is being increasingly used for the treatment of breast cancer and is 
undergoing study for the primary prevention of breast cancer. However, concerns have 
been raised that the drug may increase the incidence of new primary malignancies, such as …",Nils Wilking,10
Topoisomerase IIα gene amplification predicts favorable treatment response to tailored and dose-escalated anthracycline-based adjuvant chemotherapy in HER-2 …,https://ascopubs.org/doi/abs/10.1200/jco.2005.02.9264,"M Tanner, J Isola, T Wiklund, B Erikstein… ","Journal of clinical …, 2006 ","Purpose Amplification of the HER-2/neu and topoisomerase IIα (TOP2A) genes has been 
linked to the effects of anthracyclines. Their role in predicting the outcome of anthracycline-based 
adjuvant chemotherapy for breast cancer patients has remained controversial. Patients …",Nils Wilking,10
"[PDF][PDF] Correlation of vascular endothelial growth factor content with recurrences, survival, and first relapse site in primary node-positive breast carcinoma after …",https://www.researchgate.net/profile/Kjell-Grankvist/publication/12580142_Correlation_of_Vascular_Endothelial_Growth_Factor_Content_With_Recurrences_Survival_and_First_Relapse_Site_in_Primary_Node-Positive_Breast_Carcinoma_After_Adjuvant_Treatment/links/0046351dace409398c000000/Correlation-of-Vascular-Endothelial-Growth-Factor-Content-With-Recurrences-Survival-and-First-Relapse-Site-in-Primary-Node-Positive-Breast-Carcinoma-After-Adjuvant-Treatment.pdf,"B Linderholm, K Grankvist, N Wilking… ","Journal of Clinical …, 2000 ","Purpose: To determine the predictive value of vascular endothelial growth factor (VEGF) for 
relapse-free survival (RFS) and overall survival (OS) in primary node-positive breast cancer 
(NPBC) after adjuvant endocrine treatment or adjuvant chemotherapy. Materials and Methods…",Nils Wilking,10
"[HTML][HTML] Tailored fluorouracil, epirubicin, and cyclophosphamide compared with marrow-supported high-dose chemotherapy as adjuvant treatment for high-risk breast …",https://www.sciencedirect.com/science/article/pii/S0140673600028415,"J Bergh, T Wiklund, B Erikstein, E Lidbrink, H Lindman… ","The Lancet, 2000 ","Background Chemotherapy drug distribution varies greatly among individual patients. 
Therefore, we developed an individualised fluorouracil, epirubicin, cyclophosphamide (FEC) 
regimen to improve outcomes in patients with high-risk early breast cancer. We then did a …",Nils Wilking,10
