title,title_link,authors,publications,snippet,hcp_name,num_articles
Intravitreal chemotherapy for recurrent retinoblastoma in an only eye.,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc505058/,"S Seregard, E Kock, E af Trampe ","The British journal of …, 1995 ","Recurrent retinoblastoma in the only remaining eye presents a distressing dilemma to both 
the patient andphysician. After the failure of conventional treatments, enucleation has until 
now been the only option left. However, some previous results suggest that intraocular …",Eva af Trampe,10
Psychological reactions and quality of life in patients with posterior uveal melanoma treated with ruthenium plaque therapy or enucleation: a one year follow-up study,https://www.nature.com/articles/eye2000233,"Y Brandberg, E Kock, K Oskar, EA Trampe, S Seregard ","Eye, 2000 ","Purpose To investigate psychological reactions and quality of life among patients with 
posterior uveal melanoma. Methods Consecutive patients with uveal malignant melanoma (99/106), 
referred to st Erik's Eye Hospital 1995–1996, treated with rutheniuim plaque radiotherapy (…",Eva af Trampe,10
Results following episcleral ruthenium plaque radiotherapy for posterior uveal melanoma The Swedish experience,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0420.1997.tb00241.x,"S Seregard, E af Trampe, I Lax, E Kock… ","Acta Ophthalmologica …, 1997 ","The Swedish experience of ruthenium 106 plaque radiotherapy for posterior uveal melanoma 
includes 266 patients treated between 1979 and 1995. The median dose delivered at the 
tumour apex was 100 Gy and the median follow‐up after radiotherapy was 3.6 years (range = …",Eva af Trampe,10
Prevalence of primary acquired melanosis and nevi of the conjunctiva and uvea in the dysplastic nevus syndrome: a case-control study,https://www.sciencedirect.com/science/article/pii/S0161642095308366,"S Seregard, E af Trampe, E Månsson-Brahme, E Kock… ","Ophthalmology, 1995 ","Purpose: To investigate whether conjunctival and uveal nevi and primary acquired melanosis 
are more common in individuals with the dysplastic nevus syndrome than in control subjects 
derived from the general population. Methods: Power calculations were used to determine …",Eva af Trampe,10
Standardized precision radiotherapy in choroidal metastases,https://www.tandfonline.com/doi/abs/10.3109/02841869409098378,"U Nylén, E Kock, I Lax, G Lundell, EA Trampe… ","Acta …, 1994 ","Metastases in the choroid of the eye are frequent in patients with disseminated malignancy. 
We here report the results using the precision radiotherapy technique described by Schipper 
et al. to treat 14 of 17 consecutive patients (21 eyes) with symptoms from such metastases. …",Eva af Trampe,10
A prospective study of children treated for retinoblastoma: cognitive and visual outcomes in relation to treatment,https://onlinelibrary.wiley.com/doi/abs/10.1034/j.1600-0420.2002.800312.x,"U Ek, S Seregard, L Jacobson, K Oskar… ","Acta …, 2002 ","Purpose : To assess cognitive and visual outcomes in children treated for retinoblastoma. 
Patients and Methods: A population‐based group of 22 children treated for retinoblastoma 
were followed in a longitudinal, prospective study. Eleven children had unilateral tumours, all of …",Eva af Trampe,10
Tumour cell proliferation after failed ruthenium plaque radiotherapy for posterior uveal melanoma,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0420.1997.tb00112.x,"S Seregard, G Lundell, I Lax… ","Acta ophthalmologica …, 1997 ","Enucleation following ruthenium plaque radiotherapy for posterior uveal melanoma indicates 
failure of treatment. This study focused on the histopathological findings and remaining 
tumour cell growth fraction in 42 of 46 patients with failed ruthenium plaque treatment (of 266 …",Eva af Trampe,10
Growth hormone producing pituitary adenomas with concomitant hypersecretion of prolactin are particularly sensitive to photon irradiation,https://www.sciencedirect.com/science/article/pii/0360301685902251,"S Werner, E af Trampe, P Palacios, I Lax… ","International Journal of …, 1985 ","The effect of photon irradiation (50 Gy with a 3-field technique in fractionated doses) on 
growth hormone (GH), prolactin (PRL), and somatomedin A (SMA) was studied in 25 
patients with acromegaly after previous unsuccessful surgery. In patients with concomitant …",Eva af Trampe,10
External irradiation of growth hormone producing pituitary adenomas: prolactin as a marker of hypothalamic and pituitary effects,https://www.sciencedirect.com/science/article/pii/036030169190005O,"E af Trampe, G Lundell, I Lax, S Werner ","International Journal of Radiation …, 1991 ","Fifty-six patients with acromegaly were treated with external irradiation, 50 Gy, after unsuccessful 
pituitary surgery. A 50% reduction of pre-irradiation growth hormone levels was obtained 
in 51 56 patients. This level was reached after 26 ± 14 months in 33 patients with prolactin …",Eva af Trampe,10
Long-term effects of radiotherapy and bromocriptine treatment in patients with previous surgery for macroprolactinomas,https://academic.oup.com/neurosurgery/article-abstract/29/2/200/2748980,"E Moberg, E af Trampe, J Wersäll, S Werner ","Neurosurgery, 1991 ","The long-term effect of radiotherapy and bromocriptine treatment was retrospectively evaluated 
in 25 patients who had previously undergone transsphenoidal surgery for treatment of 
macroprolactinomas. Surgery had reduced the median serum prolactin (PRL) value from 613 …",Eva af Trampe,10
[PDF][PDF] OFTA FÖRDRÖJD DIAGNOS,https://lakartidningen.se/wp-content/uploads/OldPdfFiles/1996/12028.pdf,"S SEREGARD, U EK, G PREISLER, E TRAMPE… ",1996 ,"Vitgrå pupill. Föräldrarna upptäckte att barnet börjat skela och observerade strax därefter att 
den ena pupillen såg vitgrå ut vid närmare studium av ett fotografi taget vid ett tidigare tillfälle. 
Det krävdes två besök på barnavårdscentralen för att få remiss till ögonklinik. Man erhöll …",Eva af Trampe,19
[PDF][PDF] OFTA FÖRDRÖJD DIAGNOS,https://lakartidningen.se/wp-content/uploads/OldPdfFiles/1996/12028.pdf,"S SEREGARD, U EK, G PREISLER, E TRAMPE… ",1996 ,"Vitgrå pupill. Föräldrarna upptäckte att barnet börjat skela och observerade strax därefter att 
den ena pupillen såg vitgrå ut vid närmare studium av ett fotografi taget vid ett tidigare tillfälle. 
Det krävdes två besök på barnavårdscentralen för att få remiss till ögonklinik. Man erhöll …",Eva af Trampe,19
Precautionary note on retrobulbar alcohol injections.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC505057/,"SK Webber, CN McGhee… ","The British journal of …, 1995 ","The retrobulbar injection of alcohol for anal-gesia is a useful, if infrequently used, tool in our 
therapeutic armoury for those with blind, painful eyes in which enucleation is refused or 
inadvisable. It is our practice to perform a pre-liminary retrobulbar injection with local anaesthetic …",Eva af Trampe,19
Precautionary note on retrobulbar alcohol injections.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC505057/,"SK Webber, CN McGhee… ","The British journal of …, 1995 ","The retrobulbar injection of alcohol for anal-gesia is a useful, if infrequently used, tool in our 
therapeutic armoury for those with blind, painful eyes in which enucleation is refused or 
inadvisable. It is our practice to perform a pre-liminary retrobulbar injection with local anaesthetic …",Eva af Trampe,19
[PDF][PDF] Precautionary note on retrobulbar alcohol injections,https://www.researchgate.net/profile/Paul-Mcmenamin/publication/15503411_Precautionary_note_on_retrobulbar_alcohol_injections/links/55bad17a08aec0e5f43ea666/Precautionary-note-on-retrobulbar-alcohol-injections.pdf,"JJ Dutton, RL Anderson, RL Schelper, JJ Purcell ","Ophthalmology, 1984 ","The retrobulbar injection of alcohol for anal-gesia is a useful, if infrequently used, tool in our 
therapeutic armoury for those with blind, painful eyes in which enucleation is refused or 
inadvisable. It is our practice to perform a pre-liminary retrobulbar injection with local anaesthetic …",Eva af Trampe,19
[HTML][HTML] Oncological outcome after immediate breast reconstruction for invasive breast cancer: a long-term study,https://www.sciencedirect.com/science/article/pii/S0960977603002443,"K Sandelin, M Wickman, AM Billgren ","The Breast, 2004 ","Immediate breast reconstruction (IBR) was implemented in 1990. Patients operated on for 
invasive breast cancer were assessed for oncological outcome after a minimum of 5-year 
follow-up. The study had a form of a retrospective analysis of 203 consecutive patients. The …",Eva af Trampe,19
[PDF][PDF] DET SCENISKA TALETS UTVECKLING I MUSIKTEATERFORMEN OPERETT UNDER 1900-TALET,https://allegromusik.se/files/Uppsats-SMI-version-2014-07-08-Slutversion.pdf,"E Magnusson, O Ander, M Thalén, M Calissendorf ",allegromusik.se,"Syftet med uppsatsen var att undersöka hur det sceniska talet i musikteaterformen operett har 
utvecklats under 1900-talet. Medelst lyssning och användning av spektrogram undersöktes, 
med retorik som teoretiskt perspektiv, tretton fonogram inspelade av operettartister mellan …",Eva af Trampe,19
[HTML][HTML] Oestrogen receptors β 1 and β cx have divergent roles in breast cancer survival and lymph node metastasis,https://www.nature.com/articles/bjc2014398,"G Rosin, J De Boniface, GM Karthik, J Frisell… ","British journal of …, 2014 ","… We thank Lisa Viberg and Anna-Lena Borg for their excellent technical support during the 
study, Dr Eva af Trampe for assisting in the evaluation of the medical records and Professor 
Jan-Åke Gustafsson at the University of Houston, Texas, USA, for valuable comments. We also …",Eva af Trampe,19
[BOOK][B] Epstein-Barr virus and genomic instability-a new look at the mechanisms of viral oncogenesis,https://search.proquest.com/openview/8afe551c514c73f2b214c2194b13365d/1?pq-origsite=gscholar&cbl=2026366&diss=y,SA Kamranvar ,2011 ,"EBV is associated with a variety of lymphoid and epithelial malignancies but the mechanisms 
of oncogenesis are still not fully understood. The aim of the work described in this thesis was 
to assess whether induction of genomic instability, as defined by the accumulation of non-…",Eva af Trampe,19
,,,,,Eva af Trampe,19
Interaktiva analysprogram,https://lup.lub.lu.se/student-papers/record/8850338/file/8859989.pdf,"AB Nilsson, L Nivhede ","MSc Theses, 1976 ","Untitled Page 1 Page 2 Page 3 Page 4 Page 5 Page 6 Page 7 Page 8 Page 9 Page 10 Page 11 
Page 12 Page 13 Page 14 Page 15 Page 16 Page 17 Page 18 Page 19 Page 20 Page 21 Page 
22 Page 23 Page 24 Page 25 Page 26 Page 27 Page 28 Page 29 Page 30 Page 31 Page …",Ann-Britt Nilsson,10
Övningar för IDPAC,https://portal.research.lu.se/portal/files/47835947/7169.pdf,"AB Nilsson, I Gustavsson ",1979 ,"General rights Unless other specific re-use rights are stated the following general rights 
apply: Copyright and moral rights for the publications made accessible in the public portal 
are retained by the authors and/or other copyright owners and it is a condition of accessing …",Ann-Britt Nilsson,10
