title,title_link,authors,publications,snippet,hcp_name,num_articles
"Idiotype immunization combined with granulocyte-macrophage colony-stimulating factor in myeloma patients induced type I, major histocompatibility complex …",https://ashpublications.org/blood/article-abstract/91/7/2459/261147,"A Österborg, Q Yi, L Henriksson… ","Blood, The Journal …, 1998 ","Idiotypic structures expressed on the myeloma Ig protein might be regarded as a tumor-specific 
antigen. Five patients with IgG myeloma were immunized with the purified serum M-component 
by repeated intradermal injections together with soluble granulocyte-macrophage …",Lotta Henriksson,10
[HTML][HTML] Augmentation of the immune response with granulocyte-macrophage colony-stimulating factor and other hematopoietic growth factors,https://journals.lww.com/co-hematology/fulltext/1999/05000/augmentation_of_the_immune_response_with.8.aspx,"H Mellstedt, J Fagerberg, JE Frödin… ","Current opinion in …, 1999 ","Granulocyte-macrophage colony-stimulating factor is by far the most widely used hematopoietic 
growth factor to augment immune responses. At present, the best secured effect is as an 
adjuvant cytokine for vaccination. Granulocyte-macrophage colony-stimulating factor can be …",Lotta Henriksson,10
Idiotype immunity (natural and vaccine-induced) in early stage multiple myeloma,https://www.tandfonline.com/doi/abs/10.1080/028418600750063523,"A OÈsterborg, L Henriksson, H Mellstedt ","Acta Oncologica, 2000 ","Idiotypic structures expressed on the myeloma immunoglobulin (Ig) protein (M-component) 
might be regarded as tumor-specific antigens. Naturally occurring, idiotype-specific type I T-cell 
immunity has been observed preferentially in patients with early stage myeloma. The …",Lotta Henriksson,10
Ravitsemuksen ja liikunnan vaikutukset hedelmällisyyteen,https://www.theseus.fi/handle/10024/97705,"L Henriksson, L Starmans ",2015 ,"Opinnäytetyö toteutettiin kirjallisuuskatsauksena. Se tehtiin yhteistyössä HUS:n HYKS:in 
Naistenklinikan hormonipoliklinikan kanssa. Kirjallisuuskatsauksen avulla haettiin uusinta 
tutkittua tietoa ravitsemuksen ja liikunnan vaikutuksista hedelmällisyyteen. Sen tuloksena …",Lotta Henriksson,10
Ravitsemuksen ja liikunnan vaikutukset hedelmällisyyteen,https://www.theseus.fi/handle/10024/97705,"L Henriksson, L Starmans ",2015 ,"Opinnäytetyö toteutettiin kirjallisuuskatsauksena. Se tehtiin yhteistyössä HUS:n HYKS:in 
Naistenklinikan hormonipoliklinikan kanssa. Kirjallisuuskatsauksen avulla haettiin uusinta 
tutkittua tietoa ravitsemuksen ja liikunnan vaikutuksista hedelmällisyyteen. Sen tuloksena …",Lotta Henriksson,10
Ravitsemuksen ja liikunnan vaikutukset hedelmällisyyteen,https://www.theseus.fi/handle/10024/97705,"L Henriksson, L Starmans ",2015 ,"Opinnäytetyö toteutettiin kirjallisuuskatsauksena. Se tehtiin yhteistyössä HUS:n HYKS:in 
Naistenklinikan hormonipoliklinikan kanssa. Kirjallisuuskatsauksen avulla haettiin uusinta 
tutkittua tietoa ravitsemuksen ja liikunnan vaikutuksista hedelmällisyyteen. Sen tuloksena …",Lotta Henriksson,10
[PDF][PDF] Föredragningslista Föredragande,https://www.uddevalla.se/download/18.6ccd0e1f17bef94060f2496/1632920576088/Kultur%20och%20fritidsn%C3%A4mndens%20kallelse%202021-10-06.pdf,OA Högberg ,2015 ,"Ett medborgarförslag har inkommit från Claes Gustafsson om att tända och öppna Rimnershallen 
för allmänheten några kvällar i veckan för att uppmuntra allmänheten till att röra på sig. 
Förslaget innebär också att det ska vara kostnadsfritt och att vem som helst ska kunna gå dit …",Lotta Henriksson,10
Att bli pensionär: övergången från yrkesroll till pensionärsroll,https://www.diva-portal.org/smash/record.jsf?pid=diva2:189735,"R Fara, M Weinmann ",2006 ,"Denna uppsats handlar om hur anpassningen till pensionärslivet sett ut. Det undersöks även om 
det fanns någon skillnad mellan kvinnor och män. Utifrån en kvalitativ metod har tematiserade 
intervjuer genomförts. Urvalet bestod av sex ålderspensionärer. Tre kvinnor och tre …",Lotta Henriksson,10
” Jag skulle inte vilja dö ensam”: sjukhemspersonalens upplevelser av arbetet med vård och omsorg i livets slutskede,https://www.diva-portal.org/smash/record.jsf?pid=diva2:198234,"J Boij, G Hedlund ",2005 ,"Det blir allt fler av kategorin äldre idag, och allt fler av dem avslutar sina liv på ett särskilt 
boende, till exempel ett sjukhem. Vissa av dessa sjukhem har riktlinjer för palliativ vård och 
omsorg, andra får klara sig utan. Sjukhemmet i vår studie är ett av dem som arbetar utan direktiv. …",Lotta Henriksson,10
Genetic immunotherapy of established tumors with adenovirus-murine granulocyte-macrophage colony-stimulating factor,https://www.liebertpub.com/doi/abs/10.1089/hum.1997.8.2-187,"CT Lee, S Wu, IF Ciernik, H Chen… ","Human gene …, 1997 ","Increased local production of granulocyte-macrophage colony-stimulating factor (GM-CSF) by 
genetically modified tumor cells can induce specific antitumor cellular immunity. We 
constructed a recombinant adenovirus expressing murine GM-CSF and tested it for therapeutic …",Lotta Henriksson,10
