title,title_link,authors,publications,snippet,hcp_name,num_articles
[HTML][HTML] TERT promoter mutations and polymorphisms as prognostic factors in primary glioblastoma,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4599297/,"MA Mosrati, A Malmström, M Lysiak, A Krysztofiak… ","Oncotarget, 2015 ","Telomerase reverse transcriptase (TERT) activity is up-regulated in several types of tumors 
including glioblastoma (GBM). In the present study, 128 primary glioblastoma patients were 
examined for single nucleotide polymorphisms of TERT in blood and in 92 cases for TERT …",Charlotte Bratthäll,10
[HTML][HTML] The desmoplastic stroma plays an essential role in the accumulation and modulation of infiltrated immune cells in pancreatic adenocarcinoma,https://www.hindawi.com/journals/cdi/2011/212810/abs/,"V Tjomsland, L Niklasson, P Sandström… ","Clinical and …, 2011 ","Tumor microenvironment is composed of tumor cells, fibroblasts, and infiltrating immune cells, 
which all work together and create an inflammatory environment favoring tumor progression. 
The present study aimed to investigate the role of the desmoplastic stroma in pancreatic …",Charlotte Bratthäll,10
[HTML][HTML] Real world evidence on gemcitabine and nab-paclitaxel combination chemotherapy in advanced pancreatic cancer,https://bmccancer.biomedcentral.com/articles/10.1186/s12885-018-5244-2,"H Blomstrand, U Scheibling, C Bratthäll… ","BMC …, 2019 ","In the recent phase III trial MPACT the combination of gemcitabine and nab-paclitaxel (Gem/NabP) 
showed increased overall survival compared to gemcitabine alone in the treatment of 
advanced pancreatic ductal adenocarcinoma (aPDA). Until now there has been limited …",Charlotte Bratthäll,10
[HTML][HTML] IL-1α expression in pancreatic ductal adenocarcinoma affects the tumor cell migration and is regulated by the p38MAPK signaling pathway,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0070874,"V Tjomsland, L Bojmar, P Sandström, C Bratthäll… ","PLoS …, 2013 ","The interplay between the tumor cells and the surrounding stroma creates inflammation, which 
promotes tumor growth and spread. The inflammation is a hallmark for pancreatic 
adenocarcinoma (PDAC) and is to high extent driven by IL-1α. IL-1α is expressed and secreted by …",Charlotte Bratthäll,10
ABCB1 single-nucleotide variants and survival in patients with glioblastoma treated with radiotherapy concomitant with temozolomide,https://www.nature.com/articles/s41397-019-0107-z,"A Malmström, M Łysiak, L Åkesson… ","The …, 2020 ","Standard treatment for glioblastoma (GBM) patients is surgery and radiochemotherapy (RCT) 
with temozolomide (TMZ). TMZ is a substrate for ABCB1, a transmembrane drug transporter. 
It has been suggested that survival for GBM patients receiving TMZ is influenced by …",Charlotte Bratthäll,10
Deletions on Chromosome Y and Downregulation of the SRY Gene in Tumor Tissue Are Associated with Worse Survival of Glioblastoma Patients,https://www.mdpi.com/2072-6694/13/7/1619,"M Łysiak, A Smits, KR Roodakker, E Sandberg… ","Cancers, 2021 ","Background: Biological causes of sex disparity seen in the prevalence of cancer, including 
glioblastoma (GBM), remain poorly understood. One of the considered aspects is the 
involvement of the sex chromosomes, especially loss of chromosome Y (LOY). Methods: Tumors …",Charlotte Bratthäll,10
[HTML][HTML] Impact of PINCH expression on survival in colorectal cancer patients,https://link.springer.com/article/10.1186/1471-2407-11-103,"J Lööf, J Rosell, C Bratthäll, S Doré, H Starkhammar… ","BMC cancer, 2011 ","The adaptor protein PINCH is overexpressed in the stroma of several types of cancer, and is 
an independent prognostic marker in colorectal cancer. In this study we further investigate 
the relationship of PINCH and survival regarding the response to chemotherapy in colorectal …",Charlotte Bratthäll,10
[HTML][HTML] Assessment of genetic and non-genetic risk factors for venous thromboembolism in glioblastoma–The predictive significance of B blood group,https://www.sciencedirect.com/science/article/pii/S0049384819304542,"MK Heenkenda, A Malmström, M Lysiak, M Mudaisi… ","Thrombosis research, 2019 ","Introduction Venous thromboembolism (VTE) is a common problem among patients with 
glioblastoma multiforme (GBM) and with some other cancers. Here, we evaluated genetic 
and non-genetic potential risk factors for VTE among GBM patients. Materials and methods A …",Charlotte Bratthäll,10
MTR-09 ABCB1 as predictive marker for poor survival in patients with glioblastoma treated with radiotherapy and concomitant and adjuvant temozolomide,https://academic.oup.com/neuro-oncology/article-abstract/17/suppl_5/v126/2765759,"A Malmström, M Hallbeck, V Fomichov, P Milos… ","Neuro …, 2015 ","BACKGROUND: Induction of autophagy has been identified as a potential mechanism for 
chemotherapeutic resistance, and its manipulation has increasingly been explored as a 
treatment strategy in many cancers. However, there is minimal data on the effects of the Notch …",Charlotte Bratthäll,10
ABO blood group is a potent risk factor for venous thromboembolism in patients with malignant gliomas,https://acsjournals.onlinelibrary.wiley.com/doi/abs/10.1002/cncr.20150,"MB Streiff, J Segal, SA Grossman… ","… Journal of the …, 2004 ","BACKGROUND Venous thromboembolism (VTE) is a common cause of morbidity and 
mortality among patients with malignant gliomas. To investigate the pathogenesis of VTE and 
facilitate targeted prophylaxis strategies, the authors aimed to characterize VTE risk factors in …",Charlotte Bratthäll,10
