hcp_name,num_articles,title,title_link,authors,publications,snippet
Ingrid Schampi Ljuslinder,0,,,,,
Ingrid Schampi Ljuslinder,0,,,,,
Ingrid Schampi Ljuslinder,0,,,,,
Karin Papworth,10,"[HTML][HTML] Adjuvant vemurafenib in resected, BRAFV600 mutation-positive melanoma (BRIM8): a randomised, double-blind, placebo-controlled, multicentre, phase 3 …",https://www.sciencedirect.com/science/article/pii/S1470204518301062,"M Maio, K Lewis, L Demidov, M Mandalà… ","The Lancet …, 2018 ","Background Systemic adjuvant treatment might mitigate the high risk of disease recurrence in 
patients with resected stage IIC–III melanoma. The BRIM8 study evaluated adjuvant 
vemurafenib monotherapy in patients with resected, BRAF V600 mutation-positive melanoma. …"
Karin Papworth,10,Increasing incidence of primary central nervous system lymphoma but no improvement in survival in Sweden 2000‐2013,https://onlinelibrary.wiley.com/doi/abs/10.1111/ejh.12980,"S Eloranta, E Brånvall, F Celsing… ","European journal of …, 2018 ","Objectives This study aims to characterize the epidemiology of immunocompetent Primary 
central nervous system lymphoma ( PCNSL ) diagnosed 2000‐2013 in Sweden. Methods 
Cases were identified in the population‐based Swedish Lymphoma Register. Incidence per 100 …"
Karin Papworth,10,Family history of cancer and childhood rhabdomyosarcoma: a report from the Children's Oncology Group and the Utah Population Database,https://onlinelibrary.wiley.com/doi/abs/10.1002/cam4.448,"PJ Lupo, HE Danysh, SE Plon, K Curtin… ","Cancer …, 2015 ","Relatively little is known about the epidemiology and factors underlying susceptibility to 
childhood rhabdomyosarcoma ( RMS ). To better characterize genetic susceptibility to childhood 
RMS , we evaluated the role of family history of cancer using data from the largest case–…"
Karin Papworth,10,[HTML][HTML] Adjuvant chemotherapy and postoperative radiotherapy in high-risk soft tissue sarcoma patients defined by biological risk factors—A Scandinavian Sarcoma …,https://www.sciencedirect.com/science/article/pii/S0959804918308517,"KS Hall, ØS Bruland, B Bjerkehagen, O Zaikova… ","European Journal of …, 2018 ","Purpose To investigate the outcome following adjuvant doxorubicin and ifosfamide in a 
prospective non-randomised study based on a soft tissue sarcoma (STS) patient subgroup 
defined by specific morphological characteristics previously shown to be at a high-risk of …"
Karin Papworth,10,Valproate in combination with rituximab and CHOP as first-line therapy in diffuse large B-cell lymphoma (VALFRID),https://ashpublications.org/bloodadvances/article-abstract/2/12/1386/15914,"K Drott, H Hagberg, K Papworth, T Relander… ","Blood …, 2018 ","The aims of the present study were to establish the maximally tolerated dose (MTD) of the 
histone deacetylase inhibitor valproate together with R-CHOP (rituximab, cyclophosphamide, 
doxorubicin, vincristine, and prednisone) in patients with diffuse large B-cell lymphoma (…"
Karin Papworth,10,Soft‐tissue sarcoma in adolescents and young adults compared with older adults: A report among 5000 patients from the Scandinavian Sarcoma Group Central …,https://acsjournals.onlinelibrary.wiley.com/doi/abs/10.1002/cncr.32367,"KE Papworth, VM Arroyo, E Styring, O Zaikova… ","Cancer, 2019 ","Background In recent years, there has been growing awareness of the distinct characteristics 
of adolescents and young adults (AYA) diagnosed with cancer. Soft‐tissue sarcoma (STS) 
accounts for approximately 1% of all cancers diagnosed in adults and 8% of cancers …"
Karin Papworth,10,Perinatal and familial risk factors for soft tissue sarcomas in childhood through young adulthood: A population‐based assessment in 4 million live births,https://onlinelibrary.wiley.com/doi/abs/10.1002/ijc.32335,"PJ Lupo, RE Luna‐Gierke… ","… journal of cancer, 2020 ","Perinatal factors have been associated with soft tissue sarcomas (STS) in case‐control studies. 
However, (i) the contributions of factors including fetal growth remain unknown, ( ii) these 
factors have not been examined in cohort studies and (iii) few assessments have evaluated …"
