title,title_link,authors,publications,snippet,hcp_name,num_articles
[HTML][HTML] Breast cancer in young women: poor survival despite intensive treatment,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0007695,"H Fredholm, S Eaker, J Frisell, L Holmberg… ","PloS one, 2009 ","Background Breast cancer is uncommon in young women and correlates with a less favourable 
prognosis; still it is the most frequent cancer in women under 40, accounting for 30–40% of 
all incident female cancer. The aim of this study was to study prognosis in young women, …",Irma Fredriksson,10
"Mammography screening reduces rates of advanced and fatal breast cancers: Results in 549,091 women",https://acsjournals.onlinelibrary.wiley.com/doi/abs/10.1002/cncr.32859,"SW Duffy, L Tabár, AMF Yen, PB Dean, RA Smith… ","Cancer, 2020 ","Background It is of paramount importance to evaluate the impact of participation in organized 
mammography service screening independently from changes in breast cancer treatment. 
This can be done by measuring the incidence of fatal breast cancer, which is based on the …",Irma Fredriksson,10
Cancer during pregnancy and the postpartum period: A population‐based study,https://acsjournals.onlinelibrary.wiley.com/doi/abs/10.1002/cncr.29325,"TML Andersson, ALV Johansson, I Fredriksson… ","Cancer, 2015 ","BACKGROUND The purpose of this study was to assess patterns of cancer occurrence during 
pregnancy and the postpartum period. METHODS This was a register‐based study using 
data from the Swedish Multi‐Generation Register and the National Cancer Register from …",Irma Fredriksson,10
[HTML][HTML] Sequencing of breast cancer stem cell populations indicates a dynamic conversion between differentiation states in vivo,https://link.springer.com/article/10.1186/bcr3687,"D Klevebring, G Rosin, R Ma, J Lindberg, K Czene… ","Breast cancer …, 2014 ","The cancer stem cell model implies a hierarchical organization within breast tumors maintained 
by cancer stem-like cells (CSCs). Accordingly, CSCs are a subpopulation of cancer cells 
with capacity for self-renewal, differentiation and tumor initiation. These cells can be isolated …",Irma Fredriksson,10
[HTML][HTML] Long-term outcome in young women with breast cancer: a population-based study,https://link.springer.com/article/10.1007/s10549-016-3983-9,"H Fredholm, K Magnusson, LS Lindström… ","Breast cancer research …, 2016 ","Purpose Whether young age at diagnosis of breast cancer is an independent risk factor for 
death remains controversial, and the question whether young age should be considered in 
treatment decisions is still to be answered. Methods From a population-based cohort of 22,017 …",Irma Fredriksson,10
[PDF][PDF] Estrogen receptor β as a therapeutic target in breast cancer stem cells,https://academic.oup.com/jnci/article-pdf/doi/10.1093/jnci/djw236/17500704/djw236.pdf,"R Ma, GM Karthik, J Lövrot, F Haglund… ","JNCI: Journal of the …, 2017 ","Background: Breast cancer cells with tumor-initiating capabilities (BSCs) are considered to 
maintain tumor growth and govern metastasis. Hence, targeting BSCs will be crucial to 
achieve successful treatment of breast cancer. Methods: We characterized mammospheres …",Irma Fredriksson,10
Tumor characteristics and prognosis in women with pregnancy‐associated breast cancer,https://onlinelibrary.wiley.com/doi/abs/10.1002/ijc.31174,"ALV Johansson, TML Andersson… ","… journal of cancer, 2018 ","There is evidence of poor prognosis in women with pregnancy‐associated breast cancer (PABC) 
diagnosed during pregnancy or within 2 years of delivery. Using a large, population‐based 
cohort, we examined clinicopathologic features and survival in women with PABC. A …",Irma Fredriksson,10
[HTML][HTML] Identification and validation of single-sample breast cancer radiosensitivity gene expression predictors,https://link.springer.com/article/10.1186/s13058-018-0978-y,"M Sjöström, J Staaf, P Edén, F Wärnberg, J Bergh… ","Breast Cancer …, 2018 ","Adjuvant radiotherapy is the standard of care after breast-conserving surgery for primary breast 
cancer, despite a majority of patients being over- or under-treated. In contrast to adjuvant 
endocrine therapy and chemotherapy, no diagnostic tests are in clinical use that can stratify …",Irma Fredriksson,10
"[HTML][HTML] Gene expression profiling in primary breast cancer distinguishes patients developing local recurrence after breast-conservation surgery, with or without …",https://breast-cancer-research.biomedcentral.com/articles/10.1186/bcr1997,"E Niméus-Malmström, M Krogh… ","Breast Cancer …, 2008 ","Some patients with breast cancer develop local recurrence after breast-conservation surgery 
despite postoperative radiotherapy, whereas others remain free of local recurrence even in 
the absence of radiotherapy. As clinical parameters are insufficient for identifying these two …",Irma Fredriksson,10
[HTML][HTML] mTOR inhibitors counteract tamoxifen-induced activation of breast cancer stem cells,https://www.sciencedirect.com/science/article/pii/S0304383515004723,"GM Karthik, R Ma, J Lövrot, LL Kis, C Lindh… ","Cancer letters, 2015 ","Breast cancer cells with stem cell characteristics (CSC) are a distinct cell population with 
phenotypic similarities to mammary stem cells. CSCs are important drivers of tumorigenesis 
and the metastatic process. Tamoxifen is the most widely used hormonal therapy for estrogen …",Irma Fredriksson,10
[HTML][HTML] Cancer survival in women diagnosed with pregnancy-associated cancer: An overview using nationwide registry data in Sweden 1970–2018,https://www.sciencedirect.com/science/article/pii/S0959804921004500,"ALV Johansson, I Fredriksson, L Mellemkjaer… ","European Journal of …, 2021 ","Background Pregnancy-associated cancer (PAC) is increasing over time in many countries. 
We provide a comprehensive, population-based overview of cancer survival in women with 
PAC across five decades. Methods We performed a nationwide cohort study of 121,382 …",Irma Fredriksson,20
