title,title_link,authors,publications,snippet,hcp_name,num_articles
Objective measurements of radiotherapy‐induced erythema,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0846.2004.00078.x,"J Nyström, P Geladi… ","Skin Research and …, 2004 ","… The European Union Structure Foundation Objective 1 is recognised for their financial 
support; good collaborations were achieved with the Northern University Hospital; Johan 
Larson and Marinette Berglund are acknowledged for clinical measurements and valuable …",Marinette Berglund,1
,,,,,Marinette Berglund,1
,,,,,Marinette Berglund,1
,,,,,Sara Margareta Ekenbro,0
,,,,,Sara Margareta Ekenbro,0
,,,,,Sara Margareta Ekenbro,0
[HTML][HTML] Genome-wide association study identifies new psoriasis susceptibility loci and an interaction between HLA-C and ERAP1,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3749730/,"A Strange, F Capon, CCA Spencer, J Knight… ","Nature …, 2010 ","(WTCCC2) consortia is provided in the Supplementary Note online. Author Contributions FC, 
ADB, CEMG, J. Kere., A. Reis, JNB and RCT oversaw cohort collection for both the discovery 
and the replication datasets. The WTCCC2 DNA, genotyping, data QC and informatics …",Lena Samuelsson,10
[HTML][HTML] Identification of 15 new psoriasis susceptibility loci highlights the role of innate immunity,https://www.nature.com/articles/ng.2467,"LC Tsoi, SL Spain, J Knight, E Ellinghaus, PE Stuart… ","Nature …, 2012 ","To gain further insight into the genetic architecture of psoriasis, we conducted a meta-analysis 
of 3 genome-wide association studies (GWAS) and 2 independent data sets genotyped on 
the Immunochip, including 10,588 cases and 22,806 controls. We identified 15 new …",Lena Samuelsson,10
Stress and well‐being among parents of children with rare diseases: A prospective intervention study,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2648.2006.03736.x,"L Dellve, L Samuelsson, A Tallborn… ","Journal of advanced …, 2006 ","Aim. This paper reports a study to assess stress, well‐being and supportive resources 
experienced by mothers and fathers of children with rare disabilities, and how these variables 
were affected by an intensive family competence intervention. Background. Despite diagnosis‐…",Lena Samuelsson,10
"[HTML][HTML] SLC9A6 mutations cause X-linked mental retardation, microcephaly, epilepsy, and ataxia, a phenotype mimicking Angelman syndrome",https://www.sciencedirect.com/science/article/pii/S0002929708001626,"GD Gilfillan, KK Selmer, I Roxrud, R Smith… ","The American Journal of …, 2008 ","Linkage analysis and DNA sequencing in a family exhibiting an X-linked mental retardation (XLMR) 
syndrome, characterized by microcephaly, epilepsy, ataxia, and absent speech and 
resembling Angelman syndrome, identified a deletion in the SLC9A6 gene encoding the Na …",Lena Samuelsson,10
Autism spectrum conditons in myotonic dystrophy type 1: a study on 57 individuals with congenital and childhood forms,https://onlinelibrary.wiley.com/doi/abs/10.1002/ajmg.b.30698,"AB Ekström, L Hakenäs‐Plate… ","American Journal of …, 2008 ","Myotonic dystrophy type 1 (DM1) is an autosomal dominant disorder, caused by an expansion 
of a CTG triplet repeat in the DMPK gene. The aims of the present study were to classify a 
cohort of children with DM1, to describe their neuropsychiatric problems and cognitive level, …",Lena Samuelsson,10
