title,title_link,authors,publications,snippet,hcp_name,num_articles
Cyclin B1 is a prognostic proliferation marker with a high reproducibility in a population‐based lymph node negative breast cancer cohort,https://onlinelibrary.wiley.com/doi/abs/10.1002/ijc.25091,"E Niméus‐Malmström, A Koliadi, C Ahlin… ","… journal of cancer, 2010 ","A large proportion of women with lymph node negative breast cancer do not benefit from 
chemotherapy. Proliferation markers have been shown to recognize patients at high risk for 
recurrence. The Ki67 protein has recently been included in the St Gallen guidelines. The authors …",Anthoula Koliadi,10
[HTML][HTML] High proliferation is associated with inferior outcome in male breast cancer patients,https://www.nature.com/articles/modpathol2012145,"C Nilsson, A Koliadi, I Johansson, C Ahlin… ","Modern …, 2013 ","Assessment of proliferation is important in female breast cancer and individual treatment 
decisions are based upon its results, especially in the luminal subgroups. Gene expression 
analyses fail to group male breast cancer into the intrinsic subgroups previously established in …",Anthoula Koliadi,10
Complete response with combined BRAF and MEK inhibition in BRAF mutated advanced low-grade serous ovarian carcinoma,https://www.tandfonline.com/doi/abs/10.1080/03009734.2020.1826612,"B Tholander, A Koliadi, J Botling… ","Upsala Journal of …, 2020 ","More effective treatments are needed for low-grade serous ovarian carcinoma (LGSOC). Our 
patient, who suffers from metastatic LGSOC, had received all established treatments. 
Sequencing analysis revealed an activating BRAF mutation. Therefore, combined treatment with …",Anthoula Koliadi,10
Cyclin B is an immunohistochemical proliferation marker which can predict for breast cancer death in low-risk node negative breast cancer,https://www.tandfonline.com/doi/abs/10.3109/02841861003691937,"A Koliadi, C Nilsson, M Holmqvist, L Holmberg… ","Acta …, 2010 ","Patients with low-risk node negative breast cancer have an excellent prognosis with 5% 
breast cancer mortality at 10 years. However, prognostic factors are needed to identify poor 
prognostic patients who might benefit from adjuvant systemic therapy. Proliferation has been …",Anthoula Koliadi,10
"Parity is associated with better prognosis in ovarian germ cell tumors, but not in other ovarian cancer subtypes",https://onlinelibrary.wiley.com/doi/abs/10.1002/ijc.33844,"C Sköld, A Koliadi, G Enblad… ","… Journal of Cancer, 2022 ","Ovarian cancer is influenced by reproductive factors, with a reduced risk of epithelial 
ovarian cancer in parous women. Nonepithelial ovarian cancer frequently affects young 
women and often precedes or occurs during the childbearing years. However, the impact of …",Anthoula Koliadi,10
Improved survival without increased toxicity with influenza vaccination in cancer patients treated with checkpoint inhibitors,https://www.tandfonline.com/doi/abs/10.1080/2162402X.2021.1886725,"A Valachis, C Rosén, A Koliadi, E Digkas… ","…, 2021 ","In international guidelines, influenza vaccination is recommended to cancer patients 
receiving antitumor treatment. Whether this recommendation should include patients treated 
with the recently introduced and now widely used checkpoint inhibitors (CPIs) is unclear. The …",Anthoula Koliadi,10
[HTML][HTML] The Prognostic Impact of Proliferation Markers in Breast Cancer with Emphasis on Cyclin B1 and PPH3,https://www.diva-portal.org/smash/record.jsf?pid=diva2:713725,A Koliadi ,2014 ,"In paper IV we applied the immunohistochemichal panel suggested from international 
guidelines to the same patient material as in paper II, to discriminate luminal A from luminal B 
BC. We wanted to evaluate if different cut-off values of Ki67, cyclin A or B1 could more clearly …",Anthoula Koliadi,10
[HTML][HTML] Cyclin A is an excellent proliferation marker for identifying luminal breast cancer subgroups using immunohistochemistry,https://www.diva-portal.org/smash/record.jsf?pid=diva2:713573,A Koliadi ,2014 ,"Background. Gene arrays have demonstrated different outcomes for breast cancer subtypes 
highlighting the heterogeneity of breast cancer. The limited availability of gene expression 
analysis and financial issues have contributed to the development of surrogate markers to …",Anthoula Koliadi,10
"[HTML][HTML] PPH3 is an independent prognostic factor in node negative breast cancer, however outperformed by cyclin A in the ER positive patients.",https://www.diva-portal.org/smash/record.jsf?pid=diva2:713572,A Koliadi ,2014 ,"Background. Proliferation conveys prognostic information and directs treatment choices in 
early and especially in estrogen receptor (ER) positive breast cancer. Ki67 is the proliferation 
marker, which is recommended by the 2013 St Gallen International Breast Cancer …",Anthoula Koliadi,10
"[CITATION][C] Association between parity, histopathological tumor features and survival in high-grade serous ovarian cancer",https://www.diva-portal.org/smash/record.jsf?pid=diva2:1544119,"C Sköld, A Tolf, S Corvigno, H Dahlstrand, K Stålberg… ",2021 ,The record could not be found. The reason may be that the record is no longer available or you may have typed in a wrong id in the address field.,Anthoula Koliadi,10
"[CITATION][C] Association between parity, histopathological tumor features and survival in high-grade serous ovarian cancer",https://www.diva-portal.org/smash/record.jsf?pid=diva2:1544119,"C Sköld, A Tolf, S Corvigno, H Dahlstrand, K Stålberg… ",2021 ,The record could not be found. The reason may be that the record is no longer available or you may have typed in a wrong id in the address field.,Anthoula Koliadi,12
[BOOK][B] Prognostic and treatment predictive factors for radio-and chemotherapy resistance in breast cancer patients-a step towards personlized medicine,https://portal.research.lu.se/portal/en/publications/prognostic-and-treatment-predictive-factors-for-radio-and-chemotherapy-resistance-in-breast-cancer-patients-a-step-towards-personlized-medicine(f4d76336-d06e-40a7-9ccb-c45b67ebc813).html,E Niméus ,2009 ,"… Anthoula Koliadi, Cecilia Ahlin, Marit Holmqvist, Lars Holmberg, Rose-Marie Amini, Karin 
Jirström, Fredrik Wärnberg, Carl Blomqvist Mårten Fernö, Marie-… To Marie-Louise Fjällskog 
and Anthoula Koliadi, at the Department of Oncology in Uppsala, for introducing me to cyclin B1. …",Anthoula Koliadi,12
,,,,,Anthoula Koliadi,12
Vanishing bile duct-like syndrome in a patient with Hodgkin lymphoma–pathological development and restitution,https://www.tandfonline.com/doi/abs/10.3109/0284186X.2014.897001,"K Hallén, P Sangfelt, T Nilsson, H Nordgren… ","Acta …, 2014 ","Hodgkin lymphoma (HL) may present with hepatic dysfunction, most often as a result of intra-hepatic 
HL involvement or bile duct obstruction caused by enlarged lymph nodes [1]. In very rare 
cases, the disease is associated with paramalignant syndromes, such as idiopathic …",Karin Hallén,10
Studie av pressmaskiner för VS-arbete,https://www.diva-portal.org/smash/record.jsf?pid=diva2:492401,"K Hallén, LM Rose ",2006 ,"I denna rapport redovisas resultaten av en studie om pressmaskiner på uppdrag av parterna 
VVS Installatörerna och Byggnads. Tidigare har det uppmärksammats att maskinen är tung 
och att arbete med den ofta sker i ogynnsamma arbetsställningar över axelhöjd. Målet med …",Karin Hallén,10
Franskt i svensk tappning: Studier over franska laanord i svenska dialekter.,https://elibrary.ru/item.asp?id=5242296,K Hallén ,2002 ,"Degree: Ph. D. DegreeYear: 2001 Institute: Uppsala Universitet (Sweden) Publisher: Sprak-och 
folk-minnesinst., Box 135, SE-751 04 Uppsala, Sweden. This dissertation consists of nine 
essays (numbered I-IX) which treat French loan-words in Swedish dialects from different …",Karin Hallén,10
[PDF][PDF] Ett svenskt dialektlexikon i startgroparna,https://tidsskrift.dk/nsil/article/download/19206/16839,"K Hallén, E Thelin ","Nordiske Studier i Leksikografi, 2006 ","Artiklerne i de ældre Nordiske studier i leksikografi (1-5) er skannet og OCR-behandlet. OCR 
står for’optical character recognition’og kan ved tegngenkendelse konvertere et billede til 
tekst. Dermed kan man søge i teksten. Imidlertid kan der opstå fejl i tegngenkendelsen, og når …",Karin Hallén,10
[PDF][PDF] Ergonomisk utvärdering av rollatorprototyp” Walker”.,https://www.trionic.com/images/program/veloped_12-veckors_program.pdf,"K Hallén, U Orrenius, L Rose ",2006 ,"Denna rapport sammanfattar en jämförande studie av Trionics rollatorprototyp” Walker” och 
två konventionella utomhusrollatorer. Studien har omfattat litteraturgenomgång, tekniska tester 
främst avseende forcering av hinder, samt användartester med tio rollatoranvändare som …",Karin Hallén,10
[PDF][PDF] Ordlös kommunikation: En studie om det ordlösa samspelet mellan de yngsta barnen,https://www.diva-portal.org/smash/get/diva2:651770/FULLTEXT01.pdf,K Hallén ,2013 ,"Syftet med arbetet var att lyfta fram de yngsta barnen i förskolan och deras sätt att ta kontakt 
och skapa relationer utan ett verbalt språk. Mycket av tidigare forskning handlar om de lite 
äldre förskolebarnen. Lekforskare menar att de äldre barnen använder sig av det verbala …",Karin Hallén,10
