title,title_link,authors,publications,snippet,hcp_name,num_articles
"[HTML][HTML] A comparison between young and old patients with triple-negative breast cancer: biology, survival and metastatic patterns",https://link.springer.com/article/10.1007/s10549-020-05727-x,"AK Tzikas, S Nemes, BK Linderholm ","Breast Cancer Research and …, 2020 ","Purpose To determine the biology, recurrence rate, metastatic patterns and survival times in 
primary triple-negative breast cancer (TNBC) with focus on the comparison between younger 
and elderly patients. Methods Patients with primary TNBC stage I–IV diagnosed from 2007 …",Anna-Karin Tzikas,3
Abstract P2-14-05: Adjuvant chemotherapy in elderly women with triple-negative breast cancer: Swedish registry data 2009-2017,https://cancerres.aacrjournals.org/content/80/4_Supplement/P2-14-05.short,"S Janeva, C Zhang, A Kovács, TZ Parris, AK Tzikas… ",2020 ,"Background: Breast cancer incidence is strongly related to age, with the highest incidence 
rates being in elderly women. Triple-negative breast cancer (TNBC) is an aggressive form 
of breast cancer associated with worse survival. Due to competing mortality risks and co-…",Anna-Karin Tzikas,3
"[HTML][HTML] Patient and tumour characteristics, management, and age-specific survival in women with breast cancer in the East of England",https://www.nature.com/articles/bjc201114,"AMG Ali, D Greenberg, GC Wishart… ","British journal of cancer, 2011 ","Background: Breast cancer relative survival (BCRS), which compares the observed survival 
of women with breast cancer with the expected survival of women for the whole population of 
the same age, time period, and geographical region, tends to be poorer in older women, but …",Anna-Karin Tzikas,3
,,,,,Anna-Karin Tzikas,3
,,,,,Anna-Karin Tzikas,3
[HTML][HTML] Patients' preferences for subcutaneous trastuzumab versus conventional intravenous infusion for the adjuvant treatment of HER2-positive early breast cancer …,https://www.sciencedirect.com/science/article/pii/S0923753419366232,"X Pivot, J Gligorov, V Müller, G Curigliano, A Knoop… ","Annals of oncology, 2014 ","Background Patients with HER2-positive early breast cancer (EBC) preferred subcutaneous 
(sc) trastuzumab, delivered via single-use injection device (SID), over the intravenous (iv) 
formulation (Cohort 1 of the PrefHer study: NCT01401166). Here, we report patient preference, …",Anna-Karin Wennstig,10
[HTML][HTML] The relationship between radiation doses to coronary arteries and location of coronary stenosis requiring intervention in breast cancer survivors,https://ro-journal.biomedcentral.com/articles/10.1186/s13014-019-1242-z,"AK Wennstig, H Garmo, U Isacsson… ","Radiation …, 2019 ","To assess the relationship between radiation doses to the coronary arteries (CAs) and 
location of a coronary stenosis that required intervention after three-dimensional conformal 
radiotherapy (3DCRT) for breast cancer (BC). The study population consisted of 182 women …",Anna-Karin Wennstig,10
[HTML][HTML] Inter-observer variation in delineating the coronary arteries as organs at risk,https://www.sciencedirect.com/science/article/pii/S0167814016343821,"AK Wennstig, H Garmo, P Hållström… ","Radiotherapy and …, 2017 ","Purpose To determine the inter-observer variation in delineating the coronary arteries as 
organs at risk (OAR) in breast cancer (BC) radiotherapy (RT) and how this variation affects 
the estimated coronary artery radiation dose. Method Delineation of the left main and the left …",Anna-Karin Wennstig,10
[HTML][HTML] Influenza vaccination in breast cancer patients during subcutaneous trastuzumab in adjuvant setting,https://link.springer.com/article/10.1007/s10549-020-05815-y,"TB Joona, E Digkas, AK Wennstig, K Nyström… ","Breast Cancer Research …, 2020 ","Background Despite the current recommendation for influenza vaccination in cancer patients 
with active oncological therapy, limited data are available on the efficacy of vaccination in 
cancer patients receiving targeted therapies. We aimed to investigate the immunogenicity and …",Anna-Karin Wennstig,10
"[PDF][PDF] Impact of chemotherapy, radiotherapy, and endocrine therapy on sick leave in women with early-stage breast cancer during a 5-year period: a population …",https://link.springer.com/content/pdf/10.1007/s10549-020-05720-4.pdf,"A Plym, ALV Johansson, H Bower, AK Wennstig… ","Breast cancer research …, 2020 ","Purpose To examine the influence of type of oncological treatment on sick leave in women 
of working age with early-stage breast cancer. Methods We identified 8870 women aged 30–64 
diagnosed with stage I–II breast cancer between 2005 and 2012 in the Breast Cancer …",Anna-Karin Wennstig,10
