title,title_link,authors,publications,snippet,hcp_name,num_articles
"[HTML][HTML] Palliativ vård, cytostatikabehandling och brytpunktssamtal i livets slutskede hos patienter med metastaserad bröstcancer",https://www.diva-portal.org/smash/record.jsf?pid=diva2:1109530,"J Furubrand, E Johansson ",2017 ,"Palliativ vård, cytostatikabehandling och brytpunktssamtal i livets slutskede hos patienter med 
metastaserad bröstcancer diva-portal.org Digitala Vetenskapliga Arkivet Simple search 
Advanced search - Research publicationsAdvanced search - Student thesesStatistics …",Jenny Furubrand,1
,,,,,Jenny Furubrand,1
,,,,,Jenny Furubrand,1
Our experience using the vertical rectus abdominis muscle flap for reconstruction in 12 patients with dehiscence of a median sternotomy wound and mediastinitis,https://www.tandfonline.com/doi/abs/10.1080/02844310310000455,"JHW Clarkson, F Probst, NS Niranjan… ","… journal of plastic and …, 2003 ","The vertical rectus abdominis (VRAM) flap has been used for reconstruction of sternal defects, 
particularly in the inferior third, since it was first described 20 years ago. We describe 12 
patients with mediastinitis or chronic sternal osteomyelitis after sternotomy treated between …",Lena C Andersson,5
Escherichia coli high cell density fed batch cultures: Kinetic and physiological aspects.,https://elibrary.ru/item.asp?id=6880657,LC Andersson ,1998 ,"Degree: Takn. dr DegreeYear: 1996 Institute: Kungliga Tekniska Hogskolan (Sweden) 
Publisher: Royal Institute Of Technology, S-100 44 Stockholm 70, Sweden. The aim of this thesis 
is to study kinetic and physiological aspects of Escherichia coli high cell density (HCD) fed …",Lena C Andersson,5
[PDF][PDF] Intensive Care of Burns Patients,http://ndl.ethernet.edu.et/bitstream/123456789/11049/1/27.pdf#page=824,"LC Andersson, HC Nettelblad… ","Clinical Intensive Care …, 2015 ","The treatment of burns has improved dramatically over the last 25 years. During this period 
the incidence of burns has decreased in industrialised countries, as has the hospital mortality, 
but the number of patients dying before reaching hospital has remained static. There is an …",Lena C Andersson,5
[PDF][PDF] Intensive Care of Burns Patients,http://ndl.ethernet.edu.et/bitstream/123456789/11049/1/27.pdf#page=824,"LC Andersson, HC Nettelblad… ","Clinical Intensive Care …, 2015 ","The treatment of burns has improved dramatically over the last 25 years. During this period 
the incidence of burns has decreased in industrialised countries, as has the hospital mortality, 
but the number of patients dying before reaching hospital has remained static. There is an …",Lena C Andersson,5
[BOOK][B] Clinical Intensive Care Medicine,https://books.google.com/books?hl=en&lr=&id=0tC3CgAAQBAJ&oi=fnd&pg=PR7&dq=%22Lena+C+Andersson%22&ots=xC-OpW3311&sig=5OthYXrIgwRgM0WUHWW0asvucCI,CMH Gómez ,2014 ,"Intensive care patients are the most critically ill in any hospital and they are a patient group 
that utilises a disproportionate amount of medical resources. Intensive care medicine, around 
for about 40 years, is a relatively recent but globally expanding specialty due to a growing …",Lena C Andersson,5
,,,,,Lena C Andersson,5
,,,,,Lena C Andersson,5
