title,title_link,authors,publications,snippet,hcp_name,num_articles
[HTML][HTML] Cardiovascular toxicity caused by cancer treatment: strategies for early detection,https://www.sciencedirect.com/science/article/pii/S1470204509700427,"R Altena, PJ Perik, DJ Van Veldhuisen, EGE De Vries… ","The lancet oncology, 2009 ","Cardiovascular toxicity is one of the most devastating complications of cancer treatment and 
can arise during or shortly after treatment, or even several years later. Identification of the left 
ventricular ejection fraction (LVEF) is the most common method to screen for toxic effects on …",Renske Altena,10
"[HTML][HTML] Maintaining success, reducing treatment burden, focusing on survivorship: highlights from the third European consensus conference on diagnosis and …",https://www.sciencedirect.com/science/article/pii/S0923753419371935,"J Beyer, P Albers, R Altena, J Aparicio, C Bokemeyer… ","Annals of oncology, 2013 ","In November 2011, the Third European Consensus Conference on Diagnosis and Treatment 
of Germ-Cell Cancer (GCC) was held in Berlin, Germany. This third conference followed 
similar meetings in 2003 (Essen, Germany) and 2006 (Amsterdam, The Netherlands) [Schmoll …",Renske Altena,10
Angiotensin II–receptor inhibition with candesartan to prevent trastuzumab-related cardiotoxic effects in patients with early breast cancer: A randomized clinical trial,https://jamanetwork.com/journals/jamaoncology/article-abstract/2529696,"AH Boekhout, JA Gietema, BM Kerklaan… ","JAMA …, 2016 ","Importance This is the first randomized placebo-controlled evaluation of a medical intervention 
for the prevention of trastuzumab-related cardiotoxic effects. Objective To determine as 
the primary end point whether angiotensin II antagonist treatment with candesartan can …",Renske Altena,10
[HTML][HTML] Clinical challenges related to novel oral anticoagulants: drug-drug interactions and monitoring,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3912982/,"R Altena, E van Roon, R Folkeringa, H de Wit… ","…, 2014 ","Figure 1. Median (5th and 95th percentiles) plasma levels of rivaroxaban after oral intake of 
20 mg, in patients with normal body mass index and normal renal function. Asterix indicates 
the plasma rivaroxaban concentration in our patient, which was measured from a blood …",Renske Altena,10
[HTML][HTML] Growth differentiation factor 15 (GDF-15) plasma levels increase during bleomycin-and cisplatin-based treatment of testicular cancer patients and relate to …,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0115372,"R Altena, RSN Fehrmann, H Boer, EGE de Vries… ","PloS one, 2015 ","Introduction Chemotherapy-related endothelial damage contributes to the early development 
of cardiovascular morbidity in testicular cancer patients. We aimed to identify relevant 
mechanisms of and search for candidate biomarkers for this endothelial damage. Methods …",Renske Altena,10
Sickness absence and disability pension among swedish women prior to breast cancer relapse with a special focus on the roles of treatment and comorbidity,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecc.13353,"SAM Gernaat, A Johnsson, R Altena… ","European Journal of …, 2021 ","Objective We aimed to determine the longitudinal prevalence and the predictors of sickness 
absence (SA) and disability pension (DP) in breast cancer (BC) women who eventually 
developed relapse. Methods A total of 1293 BC women, who were ages 20–63 years, diagnosed …",Renske Altena,10
Long-term favorable effects of physical exercise on burdensome symptoms in the optitrain breast cancer randomized controlled trial,https://journals.sagepub.com/doi/abs/10.1177/1534735420905003,"F Wiggenraad, KA Bolam, S Mijwel… ","Integrative cancer …, 2020 ","Purpose: We evaluate longitudinal changes in symptom clusters and core burdensome 
symptoms in breast cancer patients who participated in the OptiTrain trial. Methods: 240 women 
were randomized to 16 weeks of supervised exercise (RT-HIIT or AT-HIIT) or usual care (UC) …",Renske Altena,10
"[HTML][HTML] Metastatic Anaplastic Thyroid Carcinoma in Complete Remission: Morphological, molecular, and clinical work-up of a rare case",https://link.springer.com/article/10.1007/s12022-020-09606-5,"A Stenman, LS Hellgren, K Jatta, M Hysek… ","Endocrine …, 2020 ","Anaplastic thyroid carcinoma (ATC) exhibits an exceedingly poor prognosis, and the current 
treatment options are, for most cases, palliative by nature. Few reports of long-time survivors 
exist, although in these patients, tumors often were limited to the thyroid and/or regional …",Renske Altena,10
[HTML][HTML] Single-nucleotide polymorphism in the 5-α-reductase gene (SRD5A2) is associated with increased prevalence of metabolic syndrome in chemotherapy …,https://www.sciencedirect.com/science/article/pii/S0959804915010394,"H Boer, NDL Westerink, R Altena, J Nuver… ","European Journal of …, 2016 ","Purpose Chemotherapy-treated testicular cancer survivors are at risk for development of the 
metabolic syndrome, especially in case of decreased androgen levels. Polymorphisms in 
the gene encoding steroid 5-α-reductase type II (SRD5A2) are involved in altered androgen …",Renske Altena,10
[HTML][HTML] Evidence-based prediction and prevention of cardiovascular morbidity in adults treated for cancer,https://cardiooncologyjournal.biomedcentral.com/articles/10.1186/s40959-021-00105-y,"R Altena, L Hubbert, NA Kiani… ","Cardio …, 2021 ","Cancer treatment-related morbidity relevantly compromises health status in cancer survivors, 
and efforts to optimise health-related outcomes in this population are vital to maximising 
healthy survivorship. A pre-treatment assessment – and possibly preventive management …",Renske Altena,10
